date,open,high,low,close,volume
2024-04-15,48057.5,48255.5,47725.80078125,47773.25,197100
2024-04-16,47436.69921875,47609.0,47316.55078125,47484.80078125,186100
2024-04-18,47592.69921875,47829.75,46982.1484375,47069.44921875,186400
2024-04-19,46744.94921875,47668.69921875,46579.05078125,47574.1484375,164600
2024-04-22,48145.69921875,48146.30078125,47628.44921875,47924.8984375,177700
2024-04-23,48299.6015625,48302.69921875,47899.30078125,47970.44921875,141100
2024-04-24,48120.8984375,48246.19921875,48028.69921875,48189.0,112200
2024-04-25,47772.6484375,48625.44921875,47737.19921875,48494.94921875,337400
2024-04-26,48660.0,48679.6484375,48088.25,48201.05078125,208100
2024-04-29,48359.8984375,49473.6015625,48342.69921875,49424.05078125,327100
2024-04-30,49477.1015625,49974.75,49249.8984375,49396.75,402900
2024-05-02,49262.0,49529.3515625,49123.6015625,49231.05078125,291900
2024-05-03,49375.05078125,49607.75,48659.69921875,48923.55078125,223000
2024-05-06,49174.55078125,49252.6484375,48784.0,48895.30078125,340200
2024-05-07,48965.05078125,49023.5,48213.75,48285.3515625,230300
2024-05-08,48124.19921875,48223.05078125,47851.1484375,48021.1015625,286000
2024-05-09,47976.3515625,48258.6484375,47440.6484375,47487.8984375,272900
2024-05-10,47555.5,47868.69921875,47313.3515625,47421.1015625,218900
2024-05-13,47389.80078125,47841.6015625,46983.25,47754.1015625,220900
2024-05-14,47748.8515625,47937.25,47607.8515625,47859.44921875,152000
2024-05-15,47923.1015625,47957.19921875,47534.5,47687.44921875,188800
2024-05-16,47945.8515625,48052.8984375,47340.3515625,47977.05078125,219900
2024-05-17,47842.94921875,48188.6484375,47758.80078125,48115.6484375,143800
2024-05-21,47927.1015625,48259.75,47927.1015625,48048.19921875,166800
2024-05-22,48113.8984375,48114.05078125,47435.25,47781.94921875,204900
2024-05-23,47899.3515625,48829.69921875,47873.1484375,48768.6015625,184500
2024-05-24,48668.0,49052.94921875,48644.80078125,48971.6484375,135000
2024-05-27,49105.8984375,49688.8515625,49051.25,49281.80078125,226500
2024-05-28,49390.8984375,49511.1484375,49043.6484375,49142.1484375,155200
2024-05-29,48786.69921875,49022.6015625,48401.55078125,48501.3515625,183600
2024-05-30,48313.6015625,49044.6015625,48313.6015625,48682.3515625,151000
2024-05-31,48895.1484375,49122.55078125,48569.05078125,48983.94921875,303600
2024-06-03,50889.8515625,51133.19921875,50092.6484375,50979.94921875,453200
2024-06-04,50667.05078125,50667.05078125,46077.8515625,46928.6015625,653100
