Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2007-11-27,173.68064880371094,187.44470140944907,139.4516136089621,139.4516136089621,27262365
2007-11-28,160.27879333496094,179.11381814004142,158.40433979755804,175.67280173436396,21958915
2007-11-29,160.6409912109375,165.53086073233916,152.5455658905358,163.9009042252053,25616715
2007-11-30,168.24745178222656,173.31841073892033,161.1843160674964,161.1843160674964,23047035
2007-12-03,177.48385620117188,180.07367220659484,166.9797040827582,170.19433791516587,14578850
2007-12-04,189.9801788330078,191.06681196699242,176.7594365538734,178.7063341604987,22742860
2007-12-05,196.31890869140625,199.03549871808448,190.16130186747728,190.16130186747728,13806600
2007-12-06,197.42364501953125,200.59299986783606,190.34239412616216,190.34239412616216,8619680
2007-12-07,199.216552734375,205.3198284605518,195.23222720660272,199.216552734375,11182820
2007-12-10,194.42633056640625,201.0276374461801,192.2530505198575,199.5154041739165,5028390
2007-12-11,189.4368133544922,197.22437441971655,188.53128364073527,195.78458549099187,3990645
2007-12-12,187.78875732421875,192.51562355715512,184.00363591831513,186.5391218919544,3637865
2007-12-13,204.8580322265625,208.27188393202874,187.82501645140954,188.35022546896514,15317195
2007-12-14,200.4843292236328,206.4427180662543,199.4158104945699,200.149287557281,5345960
2007-12-17,189.11990356445312,211.5317660323921,184.99974022608146,206.4607936440442,7024775
2007-12-18,189.11990356445312,189.11990356445312,189.11990356445312,189.11990356445312,0
2007-12-19,193.2219696044922,202.1142658129625,189.49117711494125,197.58661642728998,4228330
2007-12-20,192.00857543945312,196.22834856261505,190.34240355283436,196.22834856261505,3116440
2007-12-24,209.50338745117188,215.87831153998317,196.54525745880338,198.3110379096092,10304460
2007-12-26,217.30908203125,219.86268322242233,207.90969017839157,212.79954657272063,7335155
2007-12-27,219.43707275390625,224.5714258728436,218.05161304644494,220.04377615766532,4887475
2007-12-28,226.21946716308594,230.7290018157539,212.79950854509264,215.40743885858186,5820690
2007-12-31,229.78726196289062,234.532243603061,228.37463753265013,228.80023769013152,3686245
2008-01-01,234.8673095703125,238.8788008020058,228.86365511995896,231.63457468432077,2456740
2008-01-02,236.7870330810547,239.78433519844148,230.00462216041447,237.2941276750512,3519075
2008-01-03,231.05502319335938,238.10004503297023,228.40181327972667,236.34331473566283,2525290
2008-01-04,224.6348114013672,234.49601775108235,223.30368132831143,231.59832480260008,2753975
2008-01-07,222.26231384277344,231.61643947942787,220.0437683247677,224.5714178787753,3154815
2008-01-08,218.19647216796875,227.2879855087102,214.61056799029606,224.5713960404786,2652495
2008-01-09,213.75033569335938,219.13823583578116,208.45298025057852,217.32717603548545,3137535
2008-01-10,203.11940002441406,217.29095057764056,201.02762826539177,214.61057612116147,2194030
2008-01-11,196.6539306640625,204.64976149930024,192.51566612316037,204.28755505896083,3084690
2008-01-14,187.47186279296875,196.02911798168876,186.73838575069138,196.02911798168876,4179580
2008-01-15,190.0797882080078,195.35902928259222,187.63486019538075,189.36441183584125,4152465
2008-01-16,186.61158752441406,192.69674903848212,181.10596454419587,189.43683614977118,4080940
2008-01-17,184.89109802246094,190.79515714817873,183.09815259550237,190.16128894847523,1680015
2008-01-18,180.1280059814453,194.14560495927506,176.56021596603534,182.91703973045975,3384270
2008-01-21,149.42149353027344,182.01152172234475,144.10603709354692,180.2004618047095,788625
