Price,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,
2017-07-11,281.6759948730469,285.3505814555341,264.3707475491679,266.6549303602048,28572624
2017-07-12,312.6119079589844,319.14173768100346,285.5243436769448,286.2443676486598,35549156
2017-07-13,343.2002868652344,347.07348075011004,312.88502457654107,323.7597903954873,43750394
2017-07-14,297.3425598144531,360.2572337058401,278.6220882660293,346.50240287010877,67296768
2017-07-17,296.0018615722656,304.7414083210521,279.24282242242464,292.9728325453678,23021580
2017-07-18,292.4266357421875,299.42817803070267,288.55341118305654,292.97284417597774,7099796
2017-07-19,291.45831298828125,298.6833147907226,290.0430870776192,293.9411335601077,3583984
2017-07-20,289.29827880859375,297.4171213268804,286.56717582176816,291.97973750062596,6110080
2017-07-21,289.7203369140625,295.4556463402706,288.1065035516997,289.9934411138118,2877876
2017-07-24,291.18524169921875,293.4446026133796,286.020962202961,291.2348859931192,2979578
2017-07-25,298.9564208984375,303.8972399294525,292.4514430819185,292.94800719945033,6180740
2017-07-26,295.45562744140625,301.4143963982077,293.9659352022059,299.08053916188726,2126020
2017-07-27,288.9258117675781,297.16879407808034,288.00718029839413,296.89568988247436,1698416
2017-07-28,292.22796630859375,297.317748219661,283.04153066422845,287.01404337530533,4663896
2017-07-31,293.2707824707031,295.4556769105007,287.08858288920896,292.97285609612675,2100158
2017-08-01,290.93695068359375,294.2142619850895,289.49690251022304,293.96597990746494,844314
2017-08-02,289.00030517578125,292.92317367502557,288.0071769793009,289.09962405700276,930916
2017-08-03,277.3310852050781,290.7383176142762,272.1668057835719,289.0003430427135,1480784
2017-08-04,275.2454833984375,278.27454269033166,269.0136098050894,278.27454269033166,1403112
2017-08-07,273.805419921875,288.7271630520902,246.41990137852667,273.11021815252326,14704942
2017-08-08,282.22216796875,287.16298636764037,272.3902057610882,274.8233817488427,4743356
2017-08-09,273.06060791015625,280.5587136200406,268.64117534237516,280.5587136200406,2774206
2017-08-10,269.53497314453125,273.45784144993297,249.2751649990133,255.73049795715508,6399422
2017-08-11,268.88946533203125,272.0426353046521,260.7706542637127,264.17210629111844,1678474
2017-08-14,268.3432312011719,275.5930543825025,266.6549012673943,270.726732636961,1176194
2017-08-16,270.1805114746094,274.0040610607237,268.29357397861713,270.6770755687056,975976
2017-08-17,269.882568359375,274.3516449283435,269.1873665477227,271.32261626585534,651746
2017-08-18,267.0273742675781,272.61372100957766,265.661822841756,268.8398455559085,573760
2017-08-21,268.2439270019531,271.3722747018096,266.8287011632529,268.5170311893935,1074978
2017-08-22,262.9306945800781,270.2550151561993,262.0368852493115,269.534991139685,943080
2017-08-23,260.8203125,264.6686845549738,259.20647905759165,264.0728015300491,510576
2017-08-24,264.5941467285156,265.6617715785661,260.22438907066544,261.5651180916069,972048
2017-08-28,267.126708984375,268.7653647308593,262.185889289411,264.7928512567773,1001376
2017-08-29,270.5281066894531,277.4800038600008,263.6755283972009,263.6755283972009,1649802
2017-08-30,273.53228759765625,276.958591575342,272.34055209383865,273.11022028944524,712294
2017-08-31,272.8371276855469,276.31307609098474,271.123975624151,273.01091298267283,580208
2017-09-01,274.2523498535156,283.0415405967786,271.89367034854246,273.606822576886,1765988
2017-09-04,276.5862121582031,280.21112413748205,269.16257257460944,275.9655070142215,1182770
2017-09-05,284.6057434082031,286.2692211215815,274.67446080207714,278.1255572614105,1989224
2017-09-06,281.97393798828125,287.01407618984973,279.86354036923825,282.04843473327793,1157354
2017-09-07,277.43035888671875,286.02091145030215,275.5930657203432,283.6622320590019,815452
2017-09-08,275.2702941894531,280.8069959768653,273.11025249739333,278.57245754734123,831916
2017-09-11,277.3807373046875,280.50911586784053,273.6068616805189,277.45523405442816,697004
2017-09-12,275.9158630371094,278.2993647311139,273.6316499199592,278.0759048174547,468214
2017-09-13,276.83447265625,278.07588284753365,273.63162830116505,276.53654633348833,476598
2017-09-14,275.14617919921875,280.21113951361383,274.45100758453395,277.5793556202906,359790
2017-09-15,281.6759948730469,284.0346744246502,273.33372378368676,274.00407321731086,1008804
2017-09-18,279.4165954589844,286.020891226069,277.57930242252183,282.54494289519664,823952
2017-09-19,274.624755859375,279.46625559489485,273.6068055663004,279.46625559489485,931266
2017-09-20,273.06060791015625,277.0827649557215,271.2977811269579,276.4868819802648,1214296
2017-09-21,274.94757080078125,278.47316407703437,271.1240208553498,273.7061604488795,986458
2017-09-22,271.09918212890625,274.0537446472994,268.6411837209029,274.0537446472994,569140
2017-09-25,274.8482360839844,276.8344925326491,262.4341332798297,272.911623923389,896016
2017-09-26,278.1255187988281,279.8634930145519,270.45362829285364,276.1392625522866,1125944
2017-09-27,277.40557861328125,279.76425836057945,273.92962951199974,278.5228479672646,838242
2017-09-28,276.66070556640625,277.97658227107723,273.1599043502205,276.08964471767393,758496
2017-09-29,282.3463439941406,286.9644145153048,273.15990785595943,277.5545184635401,792284
2017-10-03,279.3421325683594,284.7050188669374,276.85931203125216,282.64429600585913,1070914
2017-10-04,279.7145690917969,284.45675048400375,278.125557810108,281.9987822804338,332520
2017-10-05,290.8624267578125,292.97282422041724,279.0690291726686,279.0690291726686,1734874
2017-10-06,305.4117736816406,309.35946472648203,291.0859101107936,293.17148559749,3843936
2017-10-09,293.6679992675781,303.64892482046025,291.5327495483048,303.350998505516,1247384
2017-10-10,288.4044189453125,295.4308129793537,286.0209173622009,295.35631624231047,678448
2017-10-11,288.8016662597656,291.6320876700024,286.84026232584534,289.049948307894,1128084
2017-10-12,288.6775207519531,291.0610526232581,283.1160272065528,290.93691160112206,481810
2017-10-13,290.83758544921875,295.95218937175474,286.7657539634033,289.1492554672402,909564
2017-10-16,301.5385437011719,305.0889890683917,289.9934286068084,292.4762490572091,2015128
2017-10-17,300.0985107421875,302.8047912301963,297.16880064874937,300.71921588586525,542840
2017-10-18,293.8170166015625,302.40757042226284,292.0790420589058,297.93849302685993,628020
2017-10-19,298.3854064941406,299.7012832920831,293.96597348581724,293.96597348581724,204002
2017-10-23,297.1936340332031,300.8930428910132,295.6046227437157,297.9384802337876,759678
2017-10-24,294.6611633300781,298.90678052906935,293.71767937124946,296.9453461775269,259344
2017-10-25,283.16571044921875,296.9453658020742,280.0621844688459,292.97285254719696,1466270
2017-10-26,288.6775207519531,292.8983155045778,284.03465864721267,285.4250320335628,338256
2017-10-27,293.86663818359375,299.92472646853855,290.98657236848277,291.88038171691466,844860
2017-10-30,291.9548645019531,297.44189166729734,283.5380970651532,294.462507109695,1627976
2017-10-31,288.8761901855469,295.6294504070889,288.0568472264622,291.9797160792463,453978
