Price,Close,High,Low,Open,Volume
Ticker,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS
Date,,,,,
2002-08-12,266.0503234863281,269.77643994138526,264.1139255338819,264.1139255338819,50695
2002-08-13,262.5002136230469,266.6957538032706,261.26795243323704,266.6957538032706,25663
2002-08-14,255.13604736328125,263.4684647706556,244.1044127941932,244.1044127941932,105219
2002-08-15,255.13604736328125,255.13604736328125,255.13604736328125,255.13604736328125,0
2002-08-16,250.94052124023438,258.7741644952076,242.05066406864654,242.05066406864654,143118
2002-08-19,252.11402893066406,253.14091024544643,249.41479446461545,252.31940877509834,68381
2002-08-20,256.80841064453125,259.8597230833376,249.38552735303153,253.5517362149962,53951
2002-08-21,255.2240753173828,261.12130205476365,254.69595049293093,261.12130205476365,33664
2002-08-22,251.23387145996094,257.45384251881677,250.73509690152324,252.37811792300093,123164
2002-08-23,246.36346435546875,251.6738997791633,245.5712953052648,250.55900381206231,170959
2002-08-26,245.13124084472656,249.38546345663386,243.22417553594056,246.15812216484213,136918
2002-08-27,244.8085174560547,246.45152042929422,244.25106042546125,246.45152042929422,158270
2002-08-28,245.2193145751953,258.1873653719468,242.3440497695773,258.1873653719468,70438
2002-08-29,245.33668518066406,246.4222493001923,236.32946308077464,236.32946308077464,77106
2002-08-30,245.54205322265625,246.45156970981864,239.99688574122814,245.27799080643854,54948
2002-09-02,243.9870147705078,248.7400122857547,239.73279180509746,246.45153730652933,128169
2002-09-03,244.1630859375,245.8647717067364,242.1093229280165,245.8647717067364,109790
2002-09-04,245.42465209960938,246.4515334891475,242.6374026137202,243.51758666189576,66258
2002-09-05,246.27548217773438,249.38545837808203,245.4539628124603,246.45151180892813,82870
2002-09-06,245.95278930664062,246.45156391031858,244.1630886840584,246.45156391031858,43511
2002-09-09,246.39288330078125,246.65694571283814,244.6618651900069,246.4515658265042,52255
2002-09-10,246.39288330078125,246.39288330078125,246.39288330078125,246.39288330078125,0
2002-09-11,246.3048095703125,248.21187480224467,245.86471759371278,246.45150689584577,33760
2002-09-12,246.51016235351562,247.03826908599893,244.83780944449654,246.45147984826497,35129
2002-09-13,246.6862335205078,249.38546805029475,245.30727499804593,245.30727499804593,80399
2002-09-16,246.422119140625,248.65191082399855,244.8377812184387,246.45145143617557,13136
2002-09-17,242.66680908203125,247.6251878984055,238.97004211285696,247.6251878984055,54181
2002-09-18,235.50794982910156,244.10441170801337,232.19259301118046,240.58367500068624,63100
2002-09-19,225.26844787597656,235.889339635053,220.36875278715328,235.30255023297576,188291
2002-09-20,221.27830505371094,224.44696450047437,220.04604362791605,220.04604362791605,165565
2002-09-23,218.10963439941406,223.8601635477763,214.91162490006047,220.04603232088104,106401
2002-09-24,223.4787139892578,225.23908193260385,217.64015314753794,218.28562497490924,110841
2002-09-25,225.62049865722656,227.32218414234416,222.39315732402827,224.6229496276459,45260
2002-09-26,224.32955932617188,229.43463378825254,222.97995099625567,222.97995099625567,30791
2002-09-27,234.0996551513672,235.88935578729385,222.97998805764095,222.97998805764095,123943
2002-09-30,228.64244079589844,237.64965988152773,227.70357436056793,231.81109934617456,86196
2002-10-01,222.53988647460938,228.84787270955218,216.02652036216682,225.9432579314357,137781
2002-10-02,222.53988647460938,222.53988647460938,222.53988647460938,222.53988647460938,0
2002-10-03,215.90916442871094,225.9139164215667,214.8822829904311,225.9139164215667,73417
2002-10-04,214.82363891601562,219.92869680695313,211.71364383048902,215.3810781949819,76395
2002-10-07,215.79185485839844,218.57910519307524,213.06328705961505,214.17818361200662,99380
2002-10-08,225.76724243164062,227.64497584744058,215.35172962290346,215.35172962290346,103854
2002-10-09,230.1387939453125,232.3685863483252,226.58870757611234,228.5544555117997,79901
2002-10-10,238.08975219726562,239.99681737198185,230.6081888195327,230.6081888195327,181941
2002-10-11,234.68641662597656,238.11912012818934,223.03864400376597,223.03864400376597,139728
2002-10-14,234.0996551513672,238.23651355632163,232.4859841851606,235.3025663450369,46608
2002-10-15,234.0996551513672,234.0996551513672,234.0996551513672,234.0996551513672,0
2002-10-16,233.39547729492188,235.88933217488017,231.78180649024296,234.42235871608116,51871
2002-10-17,231.9285430908203,237.47371086657546,229.58138515947738,231.78184572011136,76289
2002-10-18,236.0067138671875,245.8647690429454,231.19503341985796,231.19503341985796,55694
2002-10-21,237.29763793945312,240.5543299658892,236.47613633267903,237.6497151730397,79928
2002-10-22,226.91146850585938,240.58365438476895,223.74279141487858,240.58365438476895,154618
2002-10-23,235.6839599609375,237.70839056276208,224.241566610814,224.241566610814,380515
2002-10-24,239.96746826171875,242.87206427224186,231.7817511529816,235.24380410771337,287433
2002-10-25,241.0823974609375,245.21925503413908,235.71327872527507,240.5249404399181,97670
2002-10-28,238.88201904296875,243.51765270576823,237.67908977311762,241.75728413199158,83586
2002-10-29,246.80360412597656,250.44168735057713,238.2364760367723,239.41005473646084,272969
2002-10-30,247.47840881347656,255.54676239067942,235.30252977878862,247.56642363465897,272368
2002-10-31,248.6520538330078,249.38554071747097,242.34406662662474,246.45159317961838,99097
2002-11-01,259.3902893066406,261.70811497667876,248.50535132875214,249.38553557194726,448851
2002-11-04,263.0577087402344,264.6420474511252,257.45387653920443,258.7741528291491,55531
2002-11-05,255.86947631835938,262.8816158688891,254.37317071241839,262.8816158688891,122316
2002-11-06,255.86947631835938,255.86947631835938,255.86947631835938,255.86947631835938,0
2002-11-07,251.8500213623047,254.54923831625393,249.9722880916176,254.13849647462288,141912
2002-11-08,254.07980346679688,256.7203556968213,250.2950047741388,250.2950047741388,127727
2002-11-11,255.8401336669922,258.1872908565976,252.3780803938018,258.1872908565976,50051
2002-11-12,255.75213623046875,257.6005190613904,253.5223260044103,253.5223260044103,41426
2002-11-13,260.0063781738281,263.4097494189865,254.7252737474432,254.7252737474432,306097
2002-11-14,257.80596923828125,261.70811581412056,255.48814356082624,261.70811581412056,133605
2002-11-15,265.6982421875,269.92313317405063,257.6005553552353,260.24110774498143,376531
2002-11-18,265.05279541015625,267.57598282205635,263.08704721803326,266.43173625887346,104375
2002-11-19,265.05279541015625,265.05279541015625,265.05279541015625,265.05279541015625,0
2002-11-20,265.7275695800781,267.5759525126678,262.9403200747378,264.64200566494117,98401
2002-11-21,280.27996826171875,281.9523217222993,235.80133653487277,235.80133653487277,259483
2002-11-22,278.1088562011719,284.5928722091661,275.20424137339984,276.72989746569027,131626
2002-11-25,280.16259765625,284.00606094618104,272.8570626858971,272.8570626858971,62539
2002-11-26,277.5514221191406,290.46079058979836,274.9402017882547,281.6589484507135,231653
2002-11-27,273.5318603515625,278.90097948806647,271.7128097290195,277.55137110442604,121357
2002-11-28,276.5245056152344,279.8398621541297,274.0306506574312,276.7885680090172,97794
