Price,Close,High,Low,Open,Volume
Ticker,EXIDEIND.NS,EXIDEIND.NS,EXIDEIND.NS,EXIDEIND.NS,EXIDEIND.NS
Date,,,,,
2002-07-01,2.9319703578948975,2.9841936978023327,2.8275235002082213,2.8424444544674885,37080
2002-07-02,3.0961010456085205,3.26769219818182,2.9170494158742866,2.984193710322697,350980
2002-07-03,3.334836483001709,3.43182286885865,2.7976817445712303,2.7976817445712303,865140
2002-07-04,3.364677667617798,3.5064265174024336,3.29007256047618,3.35721701460623,1013200
2002-07-05,3.476583957672119,3.692937873577001,3.170704357063862,3.431821115320431,993120
2002-07-08,3.7302405834198,3.9092919606670877,3.692938035288216,3.692938035288216,1224740
2002-07-09,3.5810325145721436,3.8421493872351196,3.5437299517301737,3.8421493872351196,712980
2002-07-10,3.5735714435577393,3.692939061561711,3.5064269805587243,3.692939061561711,320760
2002-07-11,3.4542031288146973,3.543728824259661,3.43928217957387,3.5064262732858476,144600
2002-07-12,3.5437300205230713,3.6034138376339557,3.4616645941238,3.498967157689908,175280
2002-07-15,3.3721389770507812,3.543730134642146,3.357218022292559,3.543730134642146,121560
2002-07-16,3.2826130390167236,3.4691251394637694,3.2453104766298746,3.4318225770769204,121840
2002-07-17,3.2751522064208984,3.9316748497277425,3.1707055354495854,3.9316748497277425,225160
2002-07-18,3.2826130390167236,3.394520370433671,3.178166362374586,3.2080082699866255,153660
2002-07-19,3.215468168258667,3.3273754857280706,3.2005472163123168,3.2826126298890204,190220
2002-07-22,3.0587985515594482,3.6556374495072714,2.9916544334544426,3.6556374495072714,120760
2002-07-23,3.1259424686431885,3.2080078825365717,3.0289561027458767,3.2080078825365717,104480
2002-07-24,3.0587985515594482,3.1707058893926177,3.051338252100501,3.133403324867021,39440
2002-07-25,3.043876886367798,3.1184816422604325,3.021495637471776,3.0961003933644107,108840
2002-07-26,2.909588098526001,3.0587975986582023,2.7976807955550953,3.0587975986582023,123240
2002-07-29,2.7379980087280273,3.282613419366657,2.693234964251563,3.282613419366657,317780
2002-07-30,2.752918243408203,2.9841931715110865,2.723076340152576,2.9767326956971796,169420
2002-07-31,2.723076820373535,2.8648258858355424,2.5365647142622465,2.8648258858355424,113100
2002-08-01,2.6335506439208984,3.1707054751780257,2.6111692148524916,3.1707054751780257,166420
2002-08-02,2.596247911453247,2.9767325099659594,2.5514850593627543,2.9767325099659594,157580
2002-08-05,2.6783134937286377,3.05879814245189,2.6260901593980934,3.05879814245189,108340
2002-08-06,2.8200623989105225,2.9468906599150357,2.6335503340788335,2.7230762176913625,139880
2002-08-07,2.8051412105560303,2.9095880362860704,2.7603783614739066,2.8722854841792165,258980
