Price,Close,High,Low,Open,Volume
Ticker,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS
Date,,,,,
2019-08-19,1258.655029296875,1282.75493363396,1131.3454186888373,1149.4566046870577,206274
2019-08-20,1215.6712646484375,1284.686916891318,1200.844144624386,1255.7090165103111,67991
2019-08-21,1195.0001220703125,1244.1176307259402,1188.142043806191,1221.8046750614965,37234
2019-08-22,1149.8912353515625,1215.1398491371046,1140.763244698665,1194.8553206538938,19168
2019-08-23,1152.64404296875,1176.5024611493575,1107.9697910572904,1150.4223573307756,20705
2019-08-26,1217.313232421875,1312.891954825384,1162.3517941006166,1186.1619912033823,58426
2019-08-27,1229.3389892578125,1273.0956627678722,1205.4805668697304,1221.9013758735648,35263
2019-08-28,1209.5858154296875,1241.2200222217198,1207.4124729783266,1234.2170298784454,18020
2019-08-29,1177.1787109375,1208.5714323934092,1169.7410979417223,1202.4861448272356,12853
2019-08-30,1172.976806640625,1202.5825780273433,1159.1157378576804,1182.5878787138386,10739
2019-09-03,1137.6240234375,1169.5480561461882,1134.0017860459564,1161.0478252361495,7437
2019-09-04,1145.6412353515625,1166.843350052624,1135.9335924353359,1137.6239698050313,11200
2019-09-05,1156.84619140625,1172.639124734524,1146.1243910309054,1157.1358996852991,17011
2019-09-06,1171.2384033203125,1220.7423130584534,1146.5588460326521,1163.9455850626332,55574
2019-09-09,1156.55615234375,1165.8773995429156,1145.592871464704,1165.8290558829449,18248
2019-09-11,1196.3524169921875,1208.9095045605209,1140.7631090924467,1159.1157755384725,46916
2019-09-12,1181.0152587890625,1261.0609321871661,1173.4196318807221,1202.5360432011983,32636
2019-09-13,1166.0675048828125,1191.9217371713776,1161.2472807000554,1178.2886454063455,19322
2019-09-16,1153.797607421875,1173.419543057178,1149.0747392593114,1158.812660778458,25460
2019-09-17,1148.2958984375,1203.55861463043,1144.2060180915,1163.6818652079512,39914
2019-09-18,1125.9959716796875,1166.5057035431525,1116.0632198881601,1151.996175946776,16772
2019-09-19,1102.527587890625,1153.943868570311,1093.568746332877,1132.3257271885848,15603
2019-09-20,1164.9964599609375,1236.7162906705057,1096.1493880208848,1104.3292675759249,119057
