Price,Close,High,Low,Open,Volume
Ticker,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS
Date,,,,,
2002-07-01,5.105326175689697,5.201942694906715,5.052626084780059,5.201942694906715,63252
2002-07-02,5.179986476898193,5.243665933081225,5.024081514762513,5.129481734002761,394968
2002-07-03,5.015296936035156,5.105326419361459,4.99553424394213,5.0679970294601135,118860
2002-07-04,4.870370388031006,5.072387686420508,4.6727447632126395,5.013100250268815,152052
2002-07-05,5.0043182373046875,5.105327397285468,4.775951436170276,4.775951436170276,572748
2002-07-08,5.2129225730896,5.421527278095321,4.940638742085035,4.995534518696634,483564
2002-07-09,5.458856582641602,5.518144350526426,5.215118469964333,5.215118469964333,639048
2002-07-10,5.463246822357178,5.6498927877667455,5.333692297938266,5.43470110186185,792204
2002-07-11,5.364436626434326,5.627937147604882,5.322715553523621,5.627937147604882,469488
2002-07-12,5.728943824768066,5.8145816281594325,5.333693149386332,5.584018891245411,2768196
2002-07-15,5.476423740386963,5.928767232818116,5.024080876190592,5.928767232818116,178728
2002-07-16,5.577432632446289,5.704791529705786,5.324911146743766,5.529124518475299,355512
2002-07-17,5.4259161949157715,5.764075936374362,5.379803788459791,5.491791599768104,163356
2002-07-18,5.474226951599121,5.518143061868722,5.421526237159518,5.4347015728280645,137208
2002-07-19,5.357847213745117,5.480814083630621,5.3249095022528525,5.436897344385798,46284
2002-07-22,5.630131721496582,6.038557763143237,5.217314319477703,5.434702363769717,1759644
2002-07-23,5.983663082122803,6.341584775462656,5.709182905209628,5.7311415957859895,2584236
2002-07-24,5.871674060821533,6.203245637792263,5.818973967590477,5.928766142605845,1406976
2002-07-25,5.8541083335876465,6.203246666183152,5.818974932275767,6.148350883692032,435348
2002-07-26,5.447877883911133,5.917786755923377,5.300755998287471,5.873870009556125,865536
2002-07-29,5.133874893188477,5.489601028260214,4.89452835042595,5.489601028260214,434436
2002-07-30,5.039451599121094,5.3029523958686235,4.947226430200533,5.3029523958686235,202536
2002-07-31,5.206334590911865,5.29855974836776,4.666158040435566,4.775950208667041,608328
2002-08-01,5.0614094734191895,5.382002343793911,4.995534355171236,5.182180366481766,1203144
2002-08-02,5.002121448516846,5.144851335104084,4.9186796364302685,4.993338413993478,242556
2002-08-05,5.072388172149658,5.408351703689113,4.973575664395514,5.2107260599462215,306600
2002-08-06,5.039451599121094,5.133872448338231,4.9955345378987115,5.103130411247357,202560
2002-08-07,5.149243354797363,5.217314786656978,5.133872649766209,5.1887684287426605,164844
2002-08-08,5.2129225730896,5.250251965044063,5.057017650289991,5.133872428604404,1045152
2002-08-09,5.316127777099609,5.371023560853388,5.114110400792311,5.114110400792311,136212
2002-08-12,5.4983811378479,5.654285729391355,5.414939641959271,5.51814351473802,490296
2002-08-13,5.597195625305176,5.638917330321466,5.524733132319163,5.638917330321466,138828
2002-08-14,5.573038578033447,5.654284374405674,5.50277180749866,5.654284374405674,331032
2002-08-15,5.573038578033447,5.573038578033447,5.573038578033447,5.573038578033447,0
2002-08-16,5.524731159210205,5.599389934588779,5.500577422331065,5.599389934588779,64308
2002-08-19,5.4325056076049805,5.555473111412496,5.408351871079129,5.5357101066623144,101016
2002-08-20,5.577432632446289,5.612566662927174,5.2831907027526155,5.3776112501129125,271992
2002-08-21,5.621348857879639,5.70479099450328,5.553278368590038,5.573040748440738,161916
2002-08-22,5.568648338317871,5.764078326373691,5.507164894805122,5.599390374191586,181440
2002-08-23,5.605977535247803,5.6784400014795615,5.54668977731517,5.6784400014795615,106680
2002-08-26,5.78603458404541,5.838734662082094,5.544492245593367,5.764076532314035,460728
2002-08-27,5.7970147132873535,6.03855644330244,5.709180614459233,6.03855644330244,206232
2002-08-28,5.904611110687256,5.928765474421241,5.788231280075596,5.788231280075596,283368
2002-08-29,5.990248203277588,6.038556296814899,5.8475183458495525,5.869477027082528,224040
2002-08-30,6.598493576049805,6.829056208452224,6.012204554698891,6.093450961208527,1030920
2002-09-02,6.343780040740967,6.58751813639959,6.25814222957961,6.58751813639959,453576
2002-09-03,6.3262104988098145,6.396477260334556,6.260335095763168,6.315230846145771,626484
2002-09-04,6.484313488006592,6.528230232759173,6.038557743474558,6.038557743474558,216216
2002-09-05,6.242770671844482,6.5875175669127675,6.203245290019768,6.578733590298714,273816
2002-09-06,6.07808256149292,6.345974993637875,5.610368802285082,6.089061589599335,208800
2002-09-09,6.040754795074463,6.093454895261185,5.9836627057548055,5.9836627057548055,108672
2002-09-10,6.040754795074463,6.040754795074463,6.040754795074463,6.040754795074463,0
2002-09-11,6.244967937469482,6.36793484600252,6.051733595825635,6.36793484600252,91188
2002-09-12,6.236184597015381,6.313039072032382,6.157134441401127,6.253751298262993,154992
2002-09-13,6.282295227050781,6.363541668170789,5.764077689029281,6.154936993688226,220464
2002-09-16,6.172504425048828,6.359150437388815,6.100041951635079,6.297667621586296,124020
2002-09-17,6.104431629180908,6.216418828770701,6.038556214613252,6.187873737202003,233868
2002-09-18,6.0385589599609375,6.148351158077703,6.0385589599609375,6.045146630059599,147900
2002-09-19,6.016598701477051,6.038556756145773,5.9836609912393985,6.014403021657093,85644
2002-09-20,5.979270935058594,6.025383367347883,5.7640791655520625,5.983662924351979,89376
2002-09-23,6.027578353881836,6.093453781188539,5.829953328430997,5.926569532874128,112464
2002-09-24,6.093451976776123,6.1439557440900066,5.882651676992945,5.9287640855119035,154800
2002-09-25,6.2669267654418945,6.3679349855472385,5.992446581703981,6.038559016355665,198624
2002-09-26,6.304253101348877,6.313036448322307,6.148348535511859,6.1988529376677155,139644
2002-09-27,6.2647318840026855,6.367935797915723,6.233989838156545,6.363544436071923,219588
2002-09-30,6.115411281585693,6.587517001771061,5.873868907756144,6.176894714966996,622188
2002-10-01,6.168111801147461,6.203245194122011,5.92876571856699,6.0385572574951505,273420
2002-10-02,6.168111801147461,6.16811180114746,6.16811180114746,6.16811180114746,0
2002-10-03,5.915589809417725,6.148348829458887,5.876065060264911,6.148348829458887,89952
2002-10-04,5.78603458404541,5.928764433237292,5.748705519161381,5.928764433237292,198012
2002-10-07,5.689418792724609,5.825560999472911,5.676243456739794,5.825560999472911,104004
2002-10-08,5.764076232910156,5.792621949971986,5.654284095252764,5.709179849964234,93228
2002-10-09,5.739925384521484,5.7926254920458184,5.682833287252704,5.7926254920458184,169992
2002-10-10,5.821168422698975,5.906806213235842,5.709180591091881,5.711376899023634,42144
2002-10-11,5.726747989654541,5.865085879350461,5.687223237304057,5.794819094518833,72960
2002-10-14,5.753100395202637,5.924376067643449,5.678442219794497,5.9024180024886554,103416
2002-10-15,5.753100395202637,5.753100395202637,5.753100395202637,5.753100395202637,0
2002-10-16,5.9375481605529785,6.0385563358204575,5.792622622535868,5.9814648950680835,189504
2002-10-17,5.979270935058594,6.0341673459346525,5.873870730834634,6.0341673459346525,50244
2002-10-18,5.968290328979492,5.983660715244816,5.935352620261082,5.981465035526132,69132
2002-10-21,5.902417182922363,5.99025068781536,5.8475207711881545,5.935354904315933,78900
2002-10-22,5.880456447601318,5.950723227079825,5.849715045696754,5.849715045696754,50184
2002-10-23,6.106630802154541,6.3020595732224125,5.928767476312459,6.034167686484889,441996
2002-10-24,6.007814407348633,6.176893663301476,5.990247715087702,6.176893663301476,174300
2002-10-25,5.974877834320068,6.089061355649692,5.939744443141723,6.089061355649692,87372
2002-10-28,5.974877834320068,6.036361268882174,5.957311138730896,5.9836611821146555,64920
2002-10-29,5.928765773773193,5.98366154374844,5.915590437167743,5.9595071787948655,49728
2002-10-30,5.884019374847412,6.083136036169449,5.875070304225208,6.0361535754248825,40596
2002-10-31,5.951140880584717,6.040632283979572,5.872836942757917,5.9287685098023255,59388
2002-11-01,5.984699726104736,6.0809030911315425,5.984699726104736,5.984699726104736,520740
2002-11-04,6.007072925567627,6.0406321209237746,5.957852687033489,6.029445295746117,19512
2002-11-05,6.098801612854004,6.125648844719455,5.960091234926752,5.973514530815229,38244
2002-11-06,6.098801612854004,6.098801612854004,6.098801612854004,6.098801612854004,0
2002-11-07,5.995882987976074,6.092085015659659,5.9645609212228985,6.040628340417745,37956
2002-11-08,6.049576759338379,6.069712005746468,6.002593664268915,6.040627689813902,37260
2002-11-11,6.042867183685303,6.065239546288053,5.964562634399287,5.984697888759401,67224
2002-11-12,6.047341346740723,6.065238850717494,5.993646914546045,5.993646914546045,36240
2002-11-13,5.995882987976074,6.058525841306403,5.984696169799648,6.040628340417745,103692
