Price,Close,High,Low,Open,Volume
Ticker,NAM-INDIA.NS,NAM-INDIA.NS,NAM-INDIA.NS,NAM-INDIA.NS,NAM-INDIA.NS
Date,,,,,
2017-11-06,223.43563842773438,234.90596808595228,218.40755561168805,232.47048335411716,43029311
2017-11-07,226.10687255859375,228.62092670373028,221.55017639330563,226.02832784689346,5980837
2017-11-08,224.14273071289062,227.04960374212055,223.86777632497876,225.47832620757302,1885677
2017-11-09,225.63546752929688,226.2639689638794,223.90705262050565,224.61412272835918,1476764
2017-11-10,224.06419372558594,225.63547131419233,221.0001832471689,224.02489740039482,905132
2017-11-13,225.63546752929688,226.2639689638794,222.49291240479855,222.49291240479855,2141637
2017-11-14,214.7543487548828,227.01031757335068,210.47260814360243,227.01031757335068,1306130
2017-11-15,199.15943908691406,217.22913178513508,194.91699429205573,212.94739066415212,2250713
2017-11-16,213.8115997314453,218.87897970279028,186.58921945643385,200.33789878480266,4154606
2017-11-17,219.19322204589844,223.12141598937333,208.58709839851625,215.26502810242357,1247735
2017-11-20,219.15394592285156,220.6859271489495,212.90810806996538,218.9968085775013,554463
2017-11-21,213.8115997314453,219.97886925390097,213.6937587037895,217.46481544353878,366109
2017-11-22,211.96531677246094,217.11126476681687,209.7655379498204,215.97207903407636,925427
2017-11-23,213.06524658203125,215.26502557422444,210.51192054876034,215.26502557422444,355274
2017-11-24,213.49734497070312,215.18646360401547,212.2010457393608,215.18646360401547,301275
2017-11-27,213.8115997314453,214.47939752255346,210.39406607466339,212.12248106626166,559725
2017-11-28,210.55123901367188,213.61522612953212,209.76560006212833,212.51533639253077,210880
2017-11-29,205.719482421875,211.76888555683618,204.266046144535,210.55115525667455,398140
2017-11-30,207.01583862304688,209.13707312525193,198.5309365779193,205.7588116578807,432489
2017-12-01,204.03041076660156,209.64772352404358,202.77338386176987,205.16957266801623,337914
2017-12-04,200.37718200683594,206.19091642603362,199.70938421944868,204.9731618782583,1774394
2017-12-05,205.13031005859375,206.54445040881257,199.00232458535436,199.00232458535436,1104003
2017-12-06,200.37718200683594,204.69818349806428,200.02364693794144,203.1662021954871,669659
2017-12-07,198.2166748046875,204.1875225873517,197.98098076334222,201.04496733713995,212652
2017-12-08,198.3345184326172,201.3985170344969,197.98098335991105,198.4130871100617,391545
2017-12-11,198.41305541992188,199.82720747277796,197.98095173878596,198.80587476860995,1422111
2017-12-12,198.6094970703125,200.33790008523314,197.94169927486956,198.6094970703125,771170
2017-12-13,197.6667022705078,198.7665916584399,196.8417792356111,198.7665916584399,191972
2017-12-14,196.99893188476562,198.68805053348422,195.15267588350838,198.60949384511179,274737
2017-12-15,198.7666015625,199.47367163456002,194.83840785573122,197.3131650958372,497089
2017-12-18,204.34461975097656,207.40860572216897,197.23458749814907,199.4736504808221,1628941
2017-12-19,212.2796173095703,216.482765787329,202.14485741991092,204.93388959740557,529940
2017-12-20,215.89353942871094,221.35373885047784,209.17633706810906,212.43673339532637,620156
2017-12-21,220.96087646484375,226.1853688376546,217.07195544874668,219.978828125,1214297
2017-12-22,223.1999969482422,227.04962242957083,220.48953338774442,225.36050373606685,1892348
2017-12-26,224.92835998535156,227.83523289187482,220.96089396841307,224.2998585883802,792108
2017-12-27,224.06419372558594,229.36725558713246,223.3178272806806,225.3997652904254,777311
2017-12-28,226.61752319335938,231.76344778262217,223.12142091615152,223.12142091615152,734826
2017-12-29,235.8488311767578,239.5413199939975,226.34259473204472,228.30669218029954,1529684
2018-01-01,236.35943603515625,244.33366500129384,231.9598539923859,236.87009645623826,1654808
2018-01-02,226.10687255859375,240.1305321360954,222.8072034658739,238.12716247179398,440999
2018-01-03,233.17758178710938,234.12035791938382,223.16068727881358,225.94971935091291,463883
2018-01-04,233.72756958007812,235.8880765257763,231.76347235671614,231.80274471086489,234257
2018-01-05,231.9206085205078,236.0452126681484,230.1921933826067,232.74551975971752,310196
2018-01-08,234.19894409179688,235.69165309960206,232.11700595124267,232.11700595124267,259903
2018-01-09,229.91714477539062,235.69159361409368,228.6601181476244,234.2774536427246,94441
2018-01-10,232.19554138183594,234.1203660622627,229.72078391828288,230.58499140696006,131597
2018-01-11,233.49183654785156,238.7948978936233,231.80269412375074,234.12033793184887,420895
2018-01-12,250.06881713867188,257.61095431396967,234.90599808975102,236.43800331978406,1595260
2018-01-15,256.1968078613281,259.3000666194017,249.8331290249676,256.90387795963653,977336
2018-01-16,246.61203002929688,263.1890145466477,243.9801350886714,257.92522466539674,1870590
2018-01-17,243.27305603027344,249.83314497816068,239.2662932496158,247.90832027716223,475657
2018-01-18,233.60968017578125,246.88696986164715,231.76342437290663,246.14060348097723,219036
2018-01-19,230.58499145507812,238.3628109032082,228.62089442394458,235.69164373602536,371719
2018-01-22,232.07774353027344,237.26296545118754,229.40657586671114,231.76349274205407,308784
2018-01-23,232.58837890625,239.81626613267173,231.7634676794043,232.15628711614906,316102
2018-01-24,239.3448486328125,242.13388067681203,229.52436391970028,231.99912127224601,560932
2018-01-25,236.55589294433594,241.19115796013662,233.33476845003443,238.04860215609574,282209
2018-01-29,232.6669464111328,237.498620663479,231.84203518846232,236.55586840554065,237587
2018-01-30,227.7174072265625,234.905997333068,225.51760423729874,232.627649645732,267164
2018-01-31,227.47760009765625,231.83449958998872,224.91944094706488,230.95512247083536,126763
2018-02-01,219.3234100341797,231.7145628677871,217.44474649943308,227.7973645932657,289992
2018-02-02,213.36764526367188,218.24416818673328,204.65387199928102,215.84588062424172,295003
2018-02-05,217.8044891357422,221.44188213416263,201.0564381109816,206.9722091442625,243347
2018-02-06,210.1299591064453,215.7259632136921,204.65386449359687,204.65386449359687,294274
2018-02-07,218.2841033935547,219.20346636490433,210.8893843067283,213.44756715488086,332922
2018-02-08,221.8016357421875,225.19920975707308,217.44473695267723,218.24416613265032,416506
2018-02-09,221.36190795898438,224.0400002634056,216.00574774678137,217.88438657244572,136312
2018-02-12,223.08070373535156,226.67813505849452,220.00292089842108,220.00292089842108,840375
2018-02-14,225.63894653320312,227.83737736745044,223.04080100181991,223.04080100181991,76825
2018-02-15,226.03855895996094,228.99645613913552,222.76089504708486,227.83727428324977,115706
