Price,Close,High,Low,Open,Volume
Ticker,TIINDIA.NS,TIINDIA.NS,TIINDIA.NS,TIINDIA.NS,TIINDIA.NS
Date,,,,,
2017-11-02,258.30096435546875,276.4980081004659,253.593989783246,266.9384885295772,113099
2017-11-03,245.63587951660156,261.98896513211264,245.39325222146815,261.98896513211264,147702
2017-11-06,235.8822479248047,248.2077109619378,233.89270123881528,248.2077109619378,397193
2017-11-07,242.72433471679688,247.33425299655727,233.89269587836992,233.89269587836992,145331
2017-11-08,254.80711364746094,254.85565686563857,243.6462755018182,254.85565686563857,116053
2017-11-09,267.5208435058594,267.5208435058594,262.0374726861304,262.765354554703,8258
2017-11-10,280.8653259277344,280.8653259277344,280.8653259277344,280.8653259277344,263167
2017-11-13,283.24310302734375,294.88921289626927,281.4476551656999,294.88921289626927,516205
2017-11-14,281.3506164550781,286.10610570111885,269.3163080719575,269.80156268109613,97766
2017-11-15,284.84442138671875,290.1822214467765,276.59509402117493,282.41814863214705,137404
2017-11-16,281.93292236328125,299.79028570476964,275.62461256857785,295.0347965522805,54867
2017-11-17,271.2087707519531,291.10420663511945,269.07363895648126,291.10420663511945,91870
2017-11-20,267.1326599121094,274.6541062856565,266.8900326097369,271.74257865718664,59105
2017-11-21,261.1640319824219,269.99567163740045,257.8157633910408,266.7444598896634,133093
2017-11-22,256.9908142089844,262.0374736976035,254.2734004028597,261.16402137546265,25553
2017-11-23,257.8643493652344,262.0375277753594,254.7587075593772,261.01850479216,26151
2017-11-24,261.6492614746094,263.0079683024699,257.18491365370676,260.58169553215197,34189
2017-11-27,261.8433532714844,266.4047580616519,258.4465712925562,266.4047580616519,29991
2017-11-28,257.13641357421875,263.687350398746,254.66159744773282,263.0079821402779,220652
2017-11-29,253.1572723388672,259.1258966183576,251.65296565536406,257.1363650643886,35770
2017-11-30,251.26480102539062,255.2438942740936,248.45033054816716,255.2438942740936,71198
2017-12-01,248.2076873779297,256.6511278865005,247.47980559676273,251.36184176298647,24233
2017-12-04,251.26480102539062,254.27338517038982,245.53880323705582,248.20770327224122,33722
2017-12-05,249.51783752441406,251.31328486551732,243.6462558727088,245.5872736214517,14675
2017-12-06,245.1020965576172,249.51791629174264,209.33882732383444,249.51791629174264,190976
2017-12-07,244.37416076660156,247.4312580880621,234.91169834167218,247.4312580880621,20875
2017-12-08,251.55599975585938,253.30290449152324,244.71389203639598,252.23533843413279,38260
2017-12-11,262.4256896972656,274.99379606460224,261.06698269967035,263.00800115840394,92879
2017-12-12,250.29425048828125,265.87093679473367,248.69291665577035,265.87093679473367,59252
2017-12-13,252.13824462890625,256.16588096491205,243.1125221217212,243.1125221217212,13344
2017-12-14,252.28384399414062,254.66157343943962,249.42083039740822,254.66157343943962,17643
2017-12-15,255.34091186523438,257.9127546712714,252.08970094398023,255.19534144556866,446942
2017-12-18,257.33050537109375,266.89002679999334,247.47984303272108,260.09646248144804,516880
2017-12-19,256.79669189453125,262.91088685633105,252.81759900018605,259.8537893754311,57890
2017-12-20,256.1659240722656,261.940436242003,254.3219328342337,255.29244206789625,42921
2017-12-21,256.6996765136719,261.89190651790113,255.43802643455354,257.9128129811278,43533
2017-12-22,262.0859375,264.80338040727185,258.15538798856096,260.2905195858757,56045
2017-12-26,265.3857421875,266.9385331525793,259.1259462457633,262.3286146332258,105722
2017-12-27,262.8138732910156,267.86053285857537,262.0374777964324,265.82245766330743,40298
2017-12-28,263.34765625,265.9194995004834,261.98894940234726,264.4152222080086,21342
2017-12-29,261.6007385253906,266.6473981258549,259.70826338840885,266.5503412840018,53814
2018-01-01,261.8433532714844,267.0841263044729,257.62166222031584,257.62166222031584,71903
2018-01-02,260.24200439453125,264.94897936538234,256.0688271892907,259.12592487383546,200465
2018-01-03,265.77386474609375,266.79288723086245,257.23336876616537,260.0963818311148,54103
2018-01-04,272.3248596191406,276.40098007211503,262.0374572267222,262.0374572267222,243242
2018-01-05,285.7664489746094,291.1527632476547,273.3439133054884,273.3439133054884,127514
2018-01-08,286.0090026855469,291.6379428129398,285.3296345657381,291.0556315127584,85480
2018-01-09,286.8824768066406,295.714114952879,281.39910667978677,293.5789832278243,166365
2018-01-10,285.42669677734375,291.63794832225443,284.35913097644107,287.22214431282777,33230
2018-01-11,278.9242858886719,291.1527054406981,261.1639827038232,286.30016035001984,668166
2018-01-12,278.8757629394531,284.11650553824734,276.69211772182354,276.69211772182354,254450
2018-01-15,285.4752502441406,287.27069803034783,277.5656068806739,277.5656068806739,67738
2018-01-16,271.1117248535156,291.15273198138334,269.99564530443786,291.00716153891017,46453
2018-01-17,275.04229736328125,280.4771547278934,263.5903008165832,271.25731746175154,24093
2018-01-18,260.43609619140625,280.8652988036201,258.6406486170767,273.1982836236663,63228
2018-01-19,264.6092834472656,265.8709629679802,260.09642234135254,262.0374404185268,12777
2018-01-22,269.17071533203125,272.7130677620058,260.63021714757906,272.7130677620058,22164
2018-01-23,265.6283264160156,276.0127549950745,262.5226857541454,269.17067835942163,25813
2018-01-24,253.06027221679688,269.21924436579917,251.84713572486592,262.5712504664995,430124
2018-01-25,260.24200439453125,265.6283475697642,253.3028703822886,253.3028703822886,64574
2018-01-29,256.3114318847656,266.8899740225044,252.33233907582235,257.42751130716107,1227085
2018-01-30,259.3685607910156,260.8243244624339,254.2733879410518,259.0288766775005,61986
2018-01-31,259.3685607910156,261.0184381323247,254.07927427116095,260.96989490605813,16116
2018-02-01,257.9128112792969,261.98896163008817,254.17634506066972,261.98896163008817,43679
2018-02-02,255.6806182861328,259.1259135290922,237.77471466152653,255.82618871853094,95629
2018-02-05,252.13824462890625,255.24388550104862,242.62726758654813,255.19537189456585,41947
2018-02-06,254.3704833984375,255.24393581039186,237.7747691009354,244.61686235723172,35032
2018-02-07,257.0393371582031,258.64067122538705,249.56640535456248,255.2438894269298,164749
2018-02-08,254.1763153076172,260.0964264602673,252.33235402861754,260.0964264602673,14999
2018-02-09,262.2315673828125,263.1050196383558,247.47981740053044,252.3323628397565,16781
2018-02-12,271.7910461425781,273.6835506269262,264.9489692239392,264.9489692239392,21256
2018-02-14,278.1479187011719,286.3001893559247,269.75302076730384,276.643611800105,58700
2018-02-15,265.0460510253906,279.8463153527563,262.0374667795888,279.50663123156136,28447
2018-02-16,262.57122802734375,274.6540783014201,255.29240969780082,274.6540783014201,85077
2018-02-19,259.9022521972656,264.94890994806997,254.07919923137396,262.03738346512415,225249
2018-02-20,265.968017578125,270.48090876654715,259.17445360813366,259.17445360813366,16564
2018-02-21,263.2505798339844,267.66638416481044,258.05835049254347,264.2696024895332,21743
2018-02-22,259.8380432128906,263.25055034701865,258.9117793746041,262.6655431730851,7470
2018-02-23,256.7180480957031,264.7618156421523,255.25554490543965,259.30182753559814,88387
2018-02-26,253.50059509277344,261.7881145477295,251.55059051513672,261.7881145477295,84836
2018-02-27,253.5492706298828,255.88929934837643,251.25803962130135,254.62177883340888,24509
2018-02-28,254.7681121826172,256.81562314916397,250.57561381445453,256.32812195497246,368987
2018-03-01,256.4743347167969,257.3030925956072,253.7930784795744,254.32934757984364,9746
2018-03-05,259.3992919921875,265.6880673224343,258.27804554892316,258.37555170805535,65700
2018-03-06,255.1092529296875,264.6155218923709,253.50050567155762,263.2505251204637,57890
2018-03-07,253.69557189941406,255.54807003761735,248.6255488061904,255.54807003761735,15518
2018-03-08,257.6443786621094,260.3256352044776,248.13810546644027,253.6956309288698,27076
2018-03-09,254.1830596923828,262.27556523070564,250.57554001595295,262.27556523070564,56539
2018-03-12,254.4755401611328,262.2755567177959,252.47679782036863,262.2755567177959,13147
2018-03-13,254.03684997558594,258.3756223278817,252.52560823743906,256.3768794155313,185416
2018-03-14,252.03807067871094,256.1818300612429,249.84431571148812,252.67181616274522,910986
2018-03-15,249.5518035888672,254.96306863283573,249.16180867000654,254.42682933874048,27691
2018-03-16,242.04429626464844,251.01432841077957,239.99678569273743,249.5518102327339,116976
2018-03-19,242.5318145751953,245.70057195155465,238.87555606401145,241.84931596191177,20617
