contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
IWM260414C00180000,2026-04-07 16:00:41+00:00,180.0,71.2,84.9,86.39,0.0,0.0,4.0,2,4.000005,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00210000,2026-04-08 18:52:37+00:00,210.0,49.27,53.68,56.39,0.0,0.0,,1,3.1142600268554688,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00215000,2026-04-08 19:35:14+00:00,215.0,44.99,49.9,51.37,0.0,0.0,,2,2.376957182617187,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00216000,2026-04-08 17:41:15+00:00,216.0,44.51,48.9,50.39,0.0,0.0,,1,2.3418010205078117,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00217000,2026-04-08 19:35:14+00:00,217.0,43.0,47.9,49.39,0.0,0.0,,2,2.2968792578125,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00218000,2026-04-08 17:41:15+00:00,218.0,42.62,45.29,48.39,0.0,0.0,,2,2.7158235229492185,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00219000,2026-04-07 15:37:29+00:00,219.0,32.08,44.27,47.37,0.0,0.0,,1,2.6562533593750004,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00220000,2026-04-08 14:45:18+00:00,220.0,40.12,44.91,45.04,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00221000,2026-04-07 15:37:30+00:00,221.0,30.11,43.91,44.04,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00222000,2026-04-07 15:37:30+00:00,222.0,29.15,42.91,44.39,0.0,0.0,,2,2.0859422851562495,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00223000,2026-04-10 19:59:37+00:00,223.0,38.34,40.29,43.36,0.0,0.0,,3,2.4550819873046876,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00224000,2026-04-07 15:37:30+00:00,224.0,27.19,39.41,42.36,0.0,0.0,,2,2.4062539843749997,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00225000,2026-04-10 19:59:37+00:00,225.0,36.34,38.23,41.36,0.0,0.0,1.0,4,2.357425981445312,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00226000,2026-04-07 15:37:30+00:00,226.0,25.27,37.41,40.36,0.0,0.0,,2,2.3085979785156248,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00227000,2026-04-07 15:37:30+00:00,227.0,24.27,36.41,39.36,0.0,0.0,,3,2.259769975585937,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00228000,2026-04-07 15:37:30+00:00,228.0,23.33,36.91,38.36,0.0,0.0,2.0,5,1.818360283203125,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00229000,2026-04-08 14:56:52+00:00,229.0,29.78,34.41,37.36,0.0,0.0,,3,2.1630905297851566,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00230000,2026-04-13 14:22:43+00:00,230.0,32.27,34.91,36.36,10.450001,47.89185,1.0,3,1.732423212890625,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00231000,2026-04-07 15:37:30+00:00,231.0,20.52,33.91,35.36,0.0,0.0,2.0,3,1.6904312353515625,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00232000,2026-04-13 15:05:13+00:00,232.0,29.92,32.91,34.36,10.32,52.65306,1.0,2,1.6484392578125,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00233000,2026-04-08 14:45:18+00:00,233.0,27.18,31.91,33.36,0.0,0.0,,3,1.60547072265625,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00234000,2026-04-07 18:45:43+00:00,234.0,18.2,30.91,32.36,0.0,0.0,2.0,7,1.5625021874999998,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00235000,2026-04-13 16:28:58+00:00,235.0,27.97,29.91,31.36,2.8499985,11.345535,1.0,9,1.5205102099609373,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00236000,2026-04-13 14:21:03+00:00,236.0,26.14,28.91,30.36,1.6099987,6.5633864,1.0,5,1.478518232421875,True,REGULAR,USD,2026-04-14,IWM
IWM260414C00237000,2026-04-08 13:55:11+00:00,237.0,24.15,27.91,29.36,0.0,0.0,,2,1.435549697265625,True,REGULAR,USD,2026-04-14,IWM
