contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
IWM260414P00190000,2026-04-02 14:14:15+00:00,190.0,0.06,0.0,0.01,0.0,0.0,1.0,2.0,2.000005,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00205000,2026-04-08 13:41:49+00:00,205.0,0.02,0.0,0.01,0.0,0.0,10.0,48.0,1.5625021874999998,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00210000,2026-04-08 13:45:32+00:00,210.0,0.01,0.0,0.01,0.0,0.0,2.0,147.0,1.4375028125,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00215000,2026-04-08 13:30:00+00:00,215.0,0.11,0.0,0.01,0.0,0.0,1.0,30.0,1.3125034374999998,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00216000,2026-04-08 19:35:14+00:00,216.0,0.02,0.0,0.01,0.0,0.0,4.0,111.0,1.2812535937499998,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00217000,2026-04-08 18:56:12+00:00,217.0,0.02,,0.01,0.0,0.0,,4.0,1.3281283593749997,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00219000,2026-04-08 15:43:19+00:00,219.0,0.03,,0.01,0.0,0.0,,6.0,1.2812535937499998,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00220000,2026-04-10 14:51:06+00:00,220.0,0.01,0.0,0.01,0.0,0.0,10.0,17.0,1.1875040625,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00221000,2026-04-07 15:37:30+00:00,221.0,0.2,0.0,0.01,0.0,0.0,4.0,4.0,1.15625421875,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00222000,2026-04-08 13:31:14+00:00,222.0,0.03,0.0,0.01,0.0,0.0,1.0,164.0,1.125004375,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00223000,2026-04-13 13:59:50+00:00,223.0,0.01,0.0,0.01,-0.24,-96.0,2.0,66.0,1.09375453125,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00224000,2026-04-08 14:22:36+00:00,224.0,0.04,0.0,0.01,0.0,0.0,3.0,11.0,1.0625046875000002,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00225000,2026-04-13 13:42:40+00:00,225.0,0.01,0.0,0.01,0.0,0.0,5.0,862.0,1.0312548437500002,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00226000,2026-04-13 19:21:15+00:00,226.0,0.01,0.0,0.01,-0.01,-50.0,2.0,529.0,1.000005,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00227000,2026-04-08 14:01:41+00:00,227.0,0.05,0.0,0.01,0.0,0.0,2.0,2674.0,0.98437515625,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00228000,2026-04-13 13:59:50+00:00,228.0,0.01,0.0,0.01,-0.01,-50.0,2.0,53.0,0.9687503125,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00229000,2026-04-09 15:48:08+00:00,229.0,0.02,0.0,0.01,0.0,0.0,55.0,170.0,0.937500625,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00230000,2026-04-13 16:21:05+00:00,230.0,0.01,0.0,0.01,-0.01,-50.0,2.0,210.0,0.9062509375,False,REGULAR,USD,2026-04-14,IWM
IWM260414P00231000,2026-04-13 19:34:04+00:00,231.0,0.01,0.0,0.01,-0.049999997,-83.333336,1.0,75.0,0.87500125,False,REGULAR,USD,2026-04-14,IWM
