contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
QQQ260414C00485000,2026-04-09 19:22:24+00:00,485.0,124.01,130.31,134.21,0.0,0.0,12.0,9.0,2.85156537109375,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00490000,2026-04-06 14:00:01+00:00,490.0,99.48,125.26,128.88,0.0,0.0,,,2.642093238525391,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00500000,2026-04-07 20:13:55+00:00,500.0,88.7,115.26,118.72,0.0,0.0,,10.0,2.3955118237304687,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00505000,2026-04-13 19:43:04+00:00,505.0,110.4,110.27,113.72,25.86,30.58907,8.0,2.0,2.302250338134765,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00515000,2026-03-31 14:47:50+00:00,515.0,53.92,100.27,103.94,0.0,0.0,,1.0,2.1855514111328125,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00520000,2026-03-31 19:07:25+00:00,520.0,57.5,95.27,98.71,0.0,0.0,,22.0,2.021489321289063,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00525000,2026-04-10 16:55:08+00:00,525.0,85.84,90.3,93.79,0.0,0.0,10.0,0.0,1.9536135131835937,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00530000,2026-04-10 16:48:30+00:00,530.0,80.29,85.27,88.69,0.0,0.0,15.0,14.0,1.8320320898437497,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00535000,2026-04-10 17:14:04+00:00,535.0,75.47,80.32,83.75,0.0,0.0,17.0,46.0,1.7578137109375,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00540000,2026-04-13 20:01:11+00:00,540.0,76.94,75.32,78.8,6.4900055,9.212215,79.0,17.0,1.6796891015625,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00542000,2026-04-01 13:59:05+00:00,542.0,42.65,73.27,76.93,0.0,0.0,,1.0,1.6762711499023437,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00543000,2026-04-01 14:42:20+00:00,543.0,43.42,72.28,75.96,0.0,0.0,,1.0,1.6650407373046878,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00544000,2026-04-01 14:59:26+00:00,544.0,43.83,71.28,74.93,0.0,0.0,,3.0,1.6386736816406249,True,REGULAR,USD,2026-04-14,QQQ
QQQ260414C00545000,2026-04-10 17:14:04+00:00,545.0,65.5,70.27,73.72,0.0,0.0,7.0,23.0,1.5668966967773437,True,REGULAR,USD,2026-04-14,QQQ
