contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
QQQ260414P00485000,2026-04-13 13:31:36+00:00,485.0,0.01,0.0,0.01,0.0,0.0,3.0,1859.0,1.3750031249999999,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00490000,2026-04-13 19:19:42+00:00,490.0,0.01,0.0,4.8,0.0,0.0,1.0,167.0,2.922365975341797,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00495000,2026-04-13 15:57:08+00:00,495.0,0.01,0.0,4.8,-0.02,-66.66667,25.0,214.0,2.8188506091308594,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00500000,2026-04-13 19:30:56+00:00,500.0,0.01,0.0,4.8,0.0,0.0,34.0,474.0,2.7163118029785154,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00505000,2026-04-13 17:01:02+00:00,505.0,0.01,0.0,4.8,-0.049999997,-83.333336,40.0,736.0,2.6137729968261723,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00510000,2026-04-13 15:57:03+00:00,510.0,0.01,0.0,4.8,0.0,0.0,205.0,523.0,2.5122107507324216,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00515000,2026-04-13 17:01:02+00:00,515.0,0.01,0.0,4.8,-0.01,-50.0,955.0,240.0,2.410648504638672,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00520000,2026-04-13 16:33:06+00:00,520.0,0.01,0.0,0.01,-0.01,-50.0,122.0,543.0,1.000005,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00525000,2026-04-13 20:11:46+00:00,525.0,0.01,0.0,2.13,-0.02,-66.66667,1261.0,1308.0,1.8476570117187499,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00530000,2026-04-13 20:14:16+00:00,530.0,0.01,0.0,0.02,-0.02,-66.66667,249.0,684.0,0.9687503125,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00535000,2026-04-13 20:04:34+00:00,535.0,0.01,0.0,4.8,-0.01,-50.0,596.0,2557.0,2.00781748046875,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00540000,2026-04-13 19:55:07+00:00,540.0,0.01,0.0,2.13,-0.03,-75.0,180.0,979.0,1.5820333398437496,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00541000,2026-04-13 19:17:21+00:00,541.0,0.01,0.0,2.13,-0.03,-75.0,280.0,135.0,1.5639670239257812,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00542000,2026-04-13 20:10:12+00:00,542.0,0.01,0.0,4.8,-0.03,-75.0,850.0,110.0,1.867432303466797,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00543000,2026-04-13 20:09:59+00:00,543.0,0.02,0.0,0.02,-0.02,-50.0,1421.0,174.0,0.8281267187499999,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00544000,2026-04-13 20:07:53+00:00,544.0,0.02,0.0,2.13,-0.02,-50.0,394.0,285.0,1.5112329125976562,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00545000,2026-04-13 19:36:08+00:00,545.0,0.01,0.0,2.13,-0.03,-75.0,1317.0,4191.0,1.4936548754882812,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00546000,2026-04-13 20:01:19+00:00,546.0,0.01,0.0,2.14,-0.04,-80.00001,1653.0,122.0,1.4775416748046877,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00547000,2026-04-13 15:55:51+00:00,547.0,0.01,0.0,4.8,-0.049999997,-83.333336,2153.0,50.0,1.7670910083007811,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00548000,2026-04-13 19:50:07+00:00,548.0,0.01,0.0,0.02,-0.04,-80.00001,2013.0,144.0,0.7656273437500001,False,REGULAR,USD,2026-04-14,QQQ
QQQ260414P00549000,2026-04-13 19:58:01+00:00,549.0,0.01,0.0,4.8,-0.07,-87.5,2304.0,106.0,1.727052145996094,False,REGULAR,USD,2026-04-14,QQQ
