contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
SPY260414C00580000,2026-04-02 16:05:01+00:00,580.0,74.97,104.76,107.58,0.0,0.0,2.0,2.0,1.2578162109375,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00605000,2026-04-13 19:24:20+00:00,605.0,78.62,79.76,82.58,4.4300003,5.971155,52.0,1.0,0.9687503125,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00615000,2026-03-31 15:09:55+00:00,615.0,30.56,69.76,72.58,0.0,0.0,,20.0,0.8554701953125,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00616000,2026-04-02 14:16:28+00:00,616.0,37.43,68.76,71.58,0.0,0.0,2.0,2.0,0.8437515624999999,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00617000,2026-04-02 14:35:58+00:00,617.0,39.26,67.76,70.58,0.0,0.0,1.0,1.0,0.8339860351562498,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00620000,2026-04-13 19:59:59+00:00,620.0,66.0,66.04,66.35,25.8,64.1791,174.0,204.0,0.8300798242187499,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00621000,2026-04-13 14:54:40+00:00,621.0,59.17,63.76,66.58,-0.51000214,-0.8545612,39.0,31.0,0.789064609375,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00624000,2026-04-08 14:21:55+00:00,624.0,51.54,62.04,62.35,0.0,0.0,,286.0,0.7832052929687501,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00625000,2026-04-13 19:24:20+00:00,625.0,58.64,59.76,62.59,8.709999,17.44442,52.0,5.0,0.7500025,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00626000,2026-04-13 19:27:08+00:00,626.0,57.77,60.05,60.35,9.740002,20.278997,24.0,281.0,0.7656273437500001,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00628000,2026-04-13 19:57:56+00:00,628.0,58.09,58.03,58.33,10.48,22.012182,28.0,181.0,0.72070591796875,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00629000,2026-04-13 20:04:15+00:00,629.0,56.92,55.76,58.59,6.699997,13.341291,62.0,5.0,0.70312796875,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00630000,2026-04-13 19:42:45+00:00,630.0,54.05,54.77,57.59,3.5299988,6.9873295,216.0,59.0,0.6992217578125001,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00631000,2026-04-02 19:08:19+00:00,631.0,27.75,53.76,56.59,0.0,0.0,1.0,1.0,0.6816438085937502,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00632000,2026-04-13 20:14:49+00:00,632.0,54.19,52.77,55.59,7.41,15.840103,50.0,25.0,0.6757844921875001,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00633000,2026-04-08 14:31:19+00:00,633.0,41.64,51.77,54.59,0.0,0.0,,2.0,0.6640658593750002,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00634000,2026-04-09 19:31:04+00:00,634.0,46.51,50.77,53.59,0.0,0.0,,4.0,0.6523472265625001,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00635000,2026-04-13 19:33:48+00:00,635.0,49.16,49.77,52.59,3.4500008,7.547584,227.0,14.0,0.64062859375,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00636000,2026-04-01 19:59:23+00:00,636.0,24.72,48.77,51.59,0.0,0.0,,3.0,0.63086306640625,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00637000,2026-04-13 17:57:14+00:00,637.0,45.26,47.77,50.59,1.5900002,3.640944,1.0,8.0,0.6191444335937502,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00638000,2026-04-08 13:34:03+00:00,638.0,38.5,46.77,49.59,0.0,0.0,,4.0,0.6074258007812501,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00639000,2026-04-13 17:48:22+00:00,639.0,43.2,45.77,48.59,21.09,95.3867,46.0,5.0,0.59570716796875,True,REGULAR,USD,2026-04-14,SPY
SPY260414C00640000,2026-04-13 16:53:24+00:00,640.0,42.58,46.03,46.34,1.2300034,2.9746153,21.0,247.0,0.5888712988281251,True,REGULAR,USD,2026-04-14,SPY
