contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
SPY260414P00500000,2026-04-13 13:41:23+00:00,500.0,0.01,0.0,0.01,0.0,0.0,1.0,752.0,1.78125109375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00505000,2026-04-08 15:08:25+00:00,505.0,0.01,0.0,0.01,0.0,0.0,20.0,248.0,1.75000125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00510000,2026-04-09 14:42:27+00:00,510.0,0.01,0.0,0.01,0.0,0.0,10.0,107.0,1.6875015625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00515000,2026-04-08 15:26:53+00:00,515.0,0.02,0.0,0.01,0.0,0.0,61.0,50.0,1.625001875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00520000,2026-04-09 13:30:15+00:00,520.0,0.01,0.0,0.01,0.0,0.0,3.0,44.0,1.5625021874999998,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00525000,2026-04-09 13:30:59+00:00,525.0,0.01,0.0,0.01,0.0,0.0,3.0,182.0,1.5312523437499999,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00530000,2026-04-13 20:12:45+00:00,530.0,0.01,0.0,0.01,-0.01,-50.0,9.0,34.0,1.46875265625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00535000,2026-04-13 14:47:24+00:00,535.0,0.01,0.0,0.01,0.0,0.0,5.0,148.0,1.4375028125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00540000,2026-04-09 14:05:49+00:00,540.0,0.01,0.0,0.01,0.0,0.0,1.0,384.0,1.3750031249999999,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00545000,2026-04-09 20:06:17+00:00,545.0,0.01,0.0,0.01,0.0,0.0,10.0,91.0,1.3125034374999998,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00550000,2026-04-09 17:02:54+00:00,550.0,0.01,0.0,0.01,0.0,0.0,82.0,197.0,1.2812535937499998,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00555000,2026-04-13 20:12:57+00:00,555.0,0.01,0.0,0.01,0.0,0.0,2.0,461.0,1.21875390625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00560000,2026-04-10 17:30:20+00:00,560.0,0.01,0.0,0.01,0.0,0.0,2.0,354.0,1.1875040625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00565000,2026-04-13 20:13:02+00:00,565.0,0.01,0.0,0.01,0.0,0.0,4.0,1785.0,1.125004375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00570000,2026-04-13 18:44:17+00:00,570.0,0.01,0.0,0.01,0.0,0.0,3.0,759.0,1.09375453125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00575000,2026-04-13 13:30:01+00:00,575.0,0.01,0.0,0.01,0.0,0.0,4.0,3937.0,1.0312548437500002,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00580000,2026-04-13 13:33:49+00:00,580.0,0.01,0.0,0.01,-0.01,-50.0,5.0,726.0,0.98437515625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00585000,2026-04-13 14:17:33+00:00,585.0,0.01,0.0,0.01,-0.01,-50.0,2.0,525.0,0.937500625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00590000,2026-04-13 19:02:39+00:00,590.0,0.01,0.0,0.01,-0.01,-50.0,26.0,885.0,0.9062509375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00595000,2026-04-13 17:18:39+00:00,595.0,0.01,0.0,0.01,-0.01,-50.0,16.0,468.0,0.8437515624999999,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00600000,2026-04-13 20:09:30+00:00,600.0,0.01,0.0,0.01,-0.01,-50.0,5.0,895.0,0.79687703125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00601000,2026-04-13 16:36:44+00:00,601.0,0.01,0.0,0.01,-0.080000006,-88.88889,636.0,372.0,0.7812521875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00602000,2026-04-13 16:36:44+00:00,602.0,0.02,0.0,0.01,-0.02,-50.0,755.0,292.0,0.7812521875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00603000,2026-04-13 16:46:59+00:00,603.0,0.01,0.0,0.01,-0.04,-80.00001,971.0,498.0,0.7812521875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00604000,2026-04-13 18:07:12+00:00,604.0,0.01,0.0,0.01,-0.1,-90.90909,1899.0,451.0,0.7656273437500001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00605000,2026-04-13 18:09:10+00:00,605.0,0.01,0.0,0.01,-0.03,-75.0,1215.0,339.0,0.7500025,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00606000,2026-04-13 17:01:12+00:00,606.0,0.02,0.0,0.01,-0.02,-50.0,456.0,394.0,0.7500025,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00607000,2026-04-13 17:58:49+00:00,607.0,0.01,0.0,0.01,-0.03,-75.0,104.0,401.0,0.73437765625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00608000,2026-04-13 19:15:30+00:00,608.0,0.01,0.0,0.01,-0.02,-66.66667,1465.0,357.0,0.7187528125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00609000,2026-04-13 18:18:50+00:00,609.0,0.01,0.0,0.01,-0.03,-75.0,1239.0,779.0,0.7187528125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00610000,2026-04-13 18:25:05+00:00,610.0,0.01,0.0,0.01,-0.02,-66.66667,909.0,622.0,0.7187528125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00611000,2026-04-13 18:25:05+00:00,611.0,0.02,0.0,0.01,-0.030000001,-60.0,468.0,389.0,0.70312796875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00612000,2026-04-10 20:13:44+00:00,612.0,0.03,0.0,0.01,0.0,0.0,17.0,115.0,0.6875031250000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00613000,2026-04-13 18:39:58+00:00,613.0,0.01,0.0,0.01,-0.03,-75.0,52.0,313.0,0.6875031250000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00614000,2026-04-13 18:46:47+00:00,614.0,0.01,0.0,0.01,-0.03,-75.0,151.0,377.0,0.6718782812500002,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00615000,2026-04-13 18:49:36+00:00,615.0,0.01,0.0,0.01,-0.04,-80.00001,132.0,1629.0,0.6562534375000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00616000,2026-04-13 18:11:59+00:00,616.0,0.01,0.0,0.01,-0.03,-75.0,202.0,365.0,0.6562534375000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00617000,2026-04-13 18:59:51+00:00,617.0,0.01,0.0,0.01,-0.03,-75.0,201.0,686.0,0.64062859375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00618000,2026-04-13 15:03:09+00:00,618.0,0.02,0.0,0.01,-0.030000001,-60.0,8.0,797.0,0.6250037500000001,False,REGULAR,USD,2026-04-14,SPY
