Datetime,Open,High,Low,Close,Volume
2024-04-15 03:45:00+00:00,758.89,759.48,755.13,755.83,0
2024-04-15 03:50:00+00:00,755.83,755.96,751.61,751.86,0
2024-04-15 03:55:00+00:00,751.86,751.9,748.53,748.79,0
2024-04-15 04:00:00+00:00,748.79,751.13,747.55,751.02,0
2024-04-15 04:05:00+00:00,751.02,754.22,750.52,754.06,0
2024-04-15 04:10:00+00:00,754.06,756.62,753.7,756.45,0
2024-04-15 04:15:00+00:00,756.45,760.89,756.22,759.38,0
2024-04-15 04:20:00+00:00,759.38,760.91,757.62,758.05,0
2024-04-15 04:25:00+00:00,758.05,760.01,755.1,757.01,0
2024-04-15 04:30:00+00:00,757.01,758.44,754.54,755.79,0
2024-04-15 04:35:00+00:00,755.79,756.14,753.92,754.64,0
2024-04-15 04:40:00+00:00,754.64,754.95,754.35,754.7,0
2024-04-15 04:45:00+00:00,754.66,755.43,753.76,754.06,132170
2024-04-15 04:50:00+00:00,754.06,755.72,752.73,753.09,113503
2024-04-15 04:55:00+00:00,753.09,753.59,751.57,752.13,52439
2024-04-15 05:00:00+00:00,752.13,754.73,751.52,753.62,137332
2024-04-15 05:05:00+00:00,753.62,755.94,753.27,755.87,89604
2024-04-15 05:10:00+00:00,755.87,757.51,755.3,757.31,103147
2024-04-15 05:15:00+00:00,757.31,759.68,756.22,759.43,79558
2024-04-15 05:20:00+00:00,759.43,759.63,757.76,758.86,99640
2024-04-15 05:25:00+00:00,758.86,759.34,757.28,758.44,134019
2024-04-15 05:30:00+00:00,758.44,758.93,757.55,757.66,93859
2024-04-15 05:35:00+00:00,757.66,758.73,757.22,757.29,55182
2024-04-15 05:40:00+00:00,757.29,758.31,757.24,757.3,86746
2024-04-15 05:45:00+00:00,757.04,758.92,756.56,758.41,77765
2024-04-15 05:50:00+00:00,758.41,760.66,756.81,760.04,102562
2024-04-15 05:55:00+00:00,760.04,763.39,759.55,761.5,91596
2024-04-15 06:00:00+00:00,761.5,761.97,759.68,760.47,93320
2024-04-15 06:05:00+00:00,760.47,760.76,757.9,758.99,78029
2024-04-15 06:10:00+00:00,758.99,759.09,756.78,756.8,42941
2024-04-15 06:15:00+00:00,756.8,758.06,755.6,757.66,81449
2024-04-15 06:20:00+00:00,757.66,758.44,756.26,756.48,71773
2024-04-15 06:25:00+00:00,756.48,758.35,755.16,758.11,63935
2024-04-15 06:30:00+00:00,758.11,760.27,757.5,759.36,47962
2024-04-15 06:35:00+00:00,759.36,762.05,758.29,760.7,72954
2024-04-15 06:40:00+00:00,760.7,761.2,759.84,760.6,65508
2024-04-15 06:45:00+00:00,760.65,761.83,759.69,760.11,51710
2024-04-15 06:50:00+00:00,760.11,760.34,758.7,759.3,79851
2024-04-15 06:55:00+00:00,759.3,760.86,758.56,758.68,67225
2024-04-15 07:00:00+00:00,758.68,759.74,756.75,759.35,54823
2024-04-15 07:05:00+00:00,759.35,761.08,759.21,760.32,46337
2024-04-15 07:10:00+00:00,760.32,761.31,760.07,761.05,99364
2024-04-15 07:15:00+00:00,761.05,762.72,760.76,762.04,114026
2024-04-15 07:20:00+00:00,762.04,762.86,761.16,761.82,95795
2024-04-15 07:25:00+00:00,761.82,762.32,761.16,761.66,80715
2024-04-15 07:30:00+00:00,761.66,761.69,759.82,761.39,54190
2024-04-15 07:35:00+00:00,761.39,762.15,760.89,761.26,58141
2024-04-15 07:40:00+00:00,761.26,761.3,760.46,761.3,108045
2024-04-15 07:45:00+00:00,761.33,762.07,761.33,761.9,106542
2024-04-15 07:50:00+00:00,761.9,763.13,761.79,762.67,41152
2024-04-15 07:55:00+00:00,762.67,764.43,760.98,763.3,86945
2024-04-15 08:00:00+00:00,763.3,764.41,762.25,762.63,107666
2024-04-15 08:05:00+00:00,762.63,763.48,761.5,761.52,89311
2024-04-15 08:10:00+00:00,761.52,762.4,758.32,759.88,81982
2024-04-15 08:15:00+00:00,759.88,760.21,759.36,760.11,64328
2024-04-15 08:20:00+00:00,760.11,761.51,759.65,759.75,115461
2024-04-15 08:25:00+00:00,759.75,760.19,759.44,760.19,57627
2024-04-15 08:30:00+00:00,760.19,761.4,759.57,760.51,80010
2024-04-15 08:35:00+00:00,760.51,762.38,760.4,760.88,56211
2024-04-15 08:40:00+00:00,760.88,762.06,760.78,760.85,67012
2024-04-15 08:45:00+00:00,760.95,761.42,759.04,759.33,130590
2024-04-15 08:50:00+00:00,759.33,760.19,756.36,757.13,160420
2024-04-15 08:55:00+00:00,757.13,757.19,755.32,755.52,268818
