,open,high,low,close,volume
2021-04-19 01:30:00,28960.130859375,29319.759765625,28806.759765625,29106.150390625,2020100000
2021-04-20 01:30:00,28962.80078125,29220.189453125,28885.55078125,29135.73046875,2014200000
2021-04-21 01:30:00,28702.26953125,28778.359375,28506.759765625,28621.919921875,2202000000
2021-04-22 01:30:00,28716.98046875,28848.01953125,28597.0,28755.33984375,1934900000
2021-04-23 01:30:00,28798.44921875,29078.75,28748.5703125,29078.75,1901000000
2021-04-26 01:30:00,29106.44921875,29238.990234375,28908.650390625,28952.830078125,1786400000
2021-04-27 01:30:00,28895.380859375,29045.109375,28793.220703125,28941.5390625,1834900000
2021-04-28 01:30:00,28991.939453125,29071.33984375,28887.330078125,29071.33984375,2074100000
2021-04-29 01:30:00,29268.2109375,29405.119140625,29162.869140625,29303.259765625,1838100000
2021-04-30 01:30:00,29143.4296875,29154.75,28701.689453125,28724.880859375,2577600000
2021-05-03 01:30:00,28659.91015625,28684.830078125,28256.029296875,28357.5390625,1726000000
2021-05-04 01:30:00,28438.150390625,28577.51953125,28321.33984375,28557.140625,1921100000
2021-05-05 01:30:00,28427.669921875,28677.359375,28325.9609375,28417.98046875,1720800000
2021-05-06 01:30:00,28647.970703125,28753.970703125,28384.119140625,28637.4609375,2478800000
2021-05-07 01:30:00,28721.130859375,28884.029296875,28530.7109375,28610.650390625,2205300000
2021-05-10 01:30:00,28776.990234375,28842.109375,28453.140625,28595.66015625,2358800000
2021-05-11 01:30:00,28286.560546875,28286.560546875,27910.7109375,28013.810546875,2383400000
2021-05-12 01:30:00,28073.919921875,28231.0390625,27897.470703125,28231.0390625,2132300000
2021-05-13 01:30:00,27920.009765625,28060.9296875,27718.669921875,27718.669921875,2167400000
2021-05-14 01:30:00,27872.689453125,28064.009765625,27715.880859375,28027.5703125,1880800000
2021-05-17 01:30:00,28130.509765625,28268.390625,28074.140625,28194.08984375,1857000000
2021-05-18 01:30:00,28438.029296875,28617.33984375,28438.029296875,28593.810546875,2066000000
2021-05-20 01:30:00,28413.490234375,28508.240234375,28293.23046875,28450.2890625,2465800000
2021-05-21 01:30:00,28584.33984375,28584.33984375,28286.919921875,28458.439453125,1653200000
2021-05-24 01:30:00,28417.990234375,28444.359375,28195.51953125,28412.259765625,1719600000
