,open,high,low,close,volume
2021-04-19,29688.3203125,29808.009765625,29530.83984375,29685.369140625,44700000
2021-04-20,29355.869140625,29361.279296875,29014.359375,29100.380859375,59900000
2021-04-21,28660.359375,28778.9296875,28419.83984375,28508.55078125,71000000
2021-04-22,28880.779296875,29192.390625,28800.859375,29188.169921875,55100000
2021-04-23,28939.119140625,29035.33984375,28770.619140625,29020.630859375,47500000
2021-04-26,29095.490234375,29241.279296875,28896.369140625,29126.23046875,49200000
2021-04-27,29174.529296875,29187.109375,28990.189453125,28991.890625,59400000
2021-04-28,28935.509765625,29139.69921875,28875.91015625,29053.970703125,61400000
2021-04-30,28996.66015625,29046.490234375,28760.26953125,28812.630859375,78400000
2021-05-06,29024.009765625,29430.220703125,28966.470703125,29331.369140625,94300000
2021-05-07,29330.44921875,29449.859375,29237.359375,29357.8203125,67500000
2021-05-10,29376.890625,29685.41015625,29346.140625,29518.33984375,66300000
2021-05-11,29238.560546875,29289.119140625,28535.359375,28608.58984375,73200000
2021-05-12,28712.099609375,28831.029296875,27888.58984375,28147.509765625,90000000
2021-05-13,27929.009765625,27961.9609375,27385.029296875,27448.009765625,80500000
2021-05-14,27723.69921875,28139.9609375,27723.69921875,28084.470703125,73500000
2021-05-17,28310.4609375,28312.779296875,27632.529296875,27824.830078125,63900000
2021-05-18,27931.5703125,28481.169921875,27931.5703125,28406.83984375,74700000
2021-05-19,28031.220703125,28216.650390625,27842.98046875,28044.44921875,68700000
2021-05-20,27875.5,28176.869140625,27821.9609375,28098.25,56800000
2021-05-21,28269.609375,28411.560546875,28193.029296875,28317.830078125,58700000
2021-05-24,28212.3203125,28584.1796875,28212.3203125,28364.609375,54700000
2021-05-25,28516.990234375,28576.970703125,28443.740234375,28553.98046875,54000000
2021-05-26,28396.619140625,28710.830078125,28396.619140625,28642.189453125,64200000
2021-05-27,28543.3203125,28587.2109375,28360.560546875,28549.009765625,138200000
2021-05-28,28912.5390625,29194.109375,28899.66015625,29149.41015625,80600000
2021-05-31,29019.44921875,29147.7109375,28791.599609375,28860.080078125,53800000
2021-06-01,28998.650390625,29075.470703125,28611.25,28814.33984375,47400000
2021-06-02,28730.810546875,29003.55078125,28565.830078125,28946.140625,71000000
2021-06-03,28890.390625,29157.16015625,28879.150390625,29058.109375,58500000
2021-06-04,28901.419921875,28991.240234375,28764.6796875,28941.51953125,55800000
2021-06-07,29214.0,29241.19921875,28973.05078125,29019.240234375,51000000
2021-06-08,29046.029296875,29140.6796875,28897.640625,28963.560546875,50400000
2021-06-09,28901.560546875,28932.029296875,28801.830078125,28860.80078125,50400000
2021-06-10,28799.740234375,29007.529296875,28799.740234375,28958.560546875,53300000
2021-06-11,29030.0390625,29080.890625,28839.5390625,28948.73046875,71100000
2021-06-14,29153.109375,29208.349609375,29026.26953125,29161.80078125,45000000
2021-06-15,29256.029296875,29480.849609375,29235.7109375,29441.30078125,53000000
2021-06-16,29306.140625,29434.099609375,29263.720703125,29291.009765625,52400000
2021-06-17,29149.33984375,29197.6796875,28875.390625,29018.330078125,56900000
2021-06-18,29136.740234375,29136.740234375,28957.98046875,28964.080078125,90200000
2021-06-21,28506.83984375,28506.83984375,27795.859375,28010.9296875,75800000
2021-06-22,28513.0703125,28895.259765625,28494.4609375,28884.130859375,67800000
2021-06-23,28886.919921875,29007.830078125,28860.060546875,28874.890625,51100000
2021-06-24,28811.8203125,28935.33984375,28758.369140625,28875.23046875,44600000
2021-06-25,29137.30078125,29174.169921875,28992.740234375,29066.1796875,51600000
2021-06-28,29112.66015625,29121.279296875,28984.9296875,29048.01953125,47700000
2021-06-29,28927.439453125,28951.6796875,28735.55078125,28812.609375,59700000
2021-06-30,28896.310546875,28998.990234375,28779.759765625,28791.529296875,54000000
2021-07-01,28832.41015625,28833.169921875,28624.80078125,28707.0390625,45900000
2021-07-02,28719.240234375,28849.3203125,28688.630859375,28783.279296875,47500000
2021-07-05,28709.5703125,28731.0703125,28581.080078125,28598.189453125,38500000
2021-07-06,28677.94921875,28748.23046875,28587.609375,28643.2109375,41700000
2021-07-07,28262.400390625,28434.990234375,28161.75,28366.94921875,60300000
2021-07-08,28332.630859375,28366.759765625,28118.029296875,28118.029296875,62200000
2021-07-09,27739.419921875,28000.01953125,27419.400390625,27940.419921875,82300000
2021-07-12,28412.69921875,28595.119140625,28405.599609375,28569.01953125,55500000
2021-07-13,28713.8203125,28852.310546875,28699.0390625,28718.240234375,49800000
2021-07-14,28517.310546875,28696.80078125,28482.8203125,28608.490234375,54800000
2021-07-15,28539.3203125,28571.720703125,28240.2109375,28279.08984375,53200000
2021-07-16,28039.259765625,28201.30078125,27847.349609375,28003.080078125,50400000
2021-07-19,27663.400390625,27792.51953125,27493.630859375,27652.740234375,49900000
2021-07-20,27351.80078125,27564.51953125,27330.150390625,27388.16015625,63000000
2021-07-21,27747.060546875,27882.4296875,27438.0703125,27548.0,51400000
2021-07-26,27990.470703125,28036.470703125,27786.439453125,27833.2890625,54500000
2021-07-27,27911.9296875,28036.23046875,27862.689453125,27970.220703125,51700000
