symbol,rows,large_drop_winrate,large_drop_trades,best_drop_threshold,vol_drop_winrate,vol_drop_trades,rsi2_winrate,rsi2_trades,ml_accuracy,ml_auc,predictability_score,recommendation
NUVAMA,626,1.0,4,-0.08,0.6667,3,1.0,5,0.5981,0.5433,73.5,ELITE_97+
MAZDOCK,1361,1.0,3,-0.1,1.0,4,0.7308,26,0.46,0.5412,72.23,ELITE_97+
LICI,966,1.0,3,-0.07,1.0,3,0.8333,12,0.4458,0.4003,70.78,ELITE_97+
JSWENERGY,4017,1.0,5,-0.1,0.75,20,0.8261,46,0.4615,0.5401,69.65,ELITE_97+
AMBUJACEM,5904,1.0,9,-0.1,0.6154,26,0.7246,69,0.5391,0.5682,69.38,ELITE_97+
ABCAPITAL,2127,0.7778,9,-0.08,1.0,8,0.8,25,0.5167,0.5032,67.7,ELITE_97+
IRFC,1285,1.0,3,-0.1,0.6,5,0.7222,18,0.5223,0.5326,67.57,ELITE_97+
GMRAIRPORT,4845,0.7174,46,-0.08,0.8261,23,0.7353,68,0.5022,0.5256,66.31,MODERATE
LTM,2402,1.0,3,-0.08,0.2727,11,0.75,36,0.5991,0.6175,66.13,ELITE_97+
DLF,4629,0.6909,55,-0.08,0.7778,27,0.6596,47,0.5291,0.5498,65.46,MODERATE
KOTAKBANK,6165,0.6351,74,-0.06,0.7143,21,0.7579,95,0.5485,0.5832,64.81,MODERATE
OFSS,5905,0.875,8,-0.1,0.75,12,0.6444,90,0.4959,0.4864,64.44,MODERATE
NBCC,3453,0.7778,27,-0.08,0.75,16,0.6333,60,0.4892,0.5695,64.39,MODERATE
NHPC,4098,0.8333,6,-0.08,0.7273,11,0.7333,45,0.4946,0.522,64.04,MODERATE
PIDILITIND,5903,0.8,5,-0.1,0.75,8,0.7054,112,0.5277,0.4963,63.44,MODERATE
POWERGRID,4565,0.7143,7,-0.1,0.9,10,0.7083,48,0.4544,0.5832,62.82,HIGHLY_PREDICTABLE_90+
KAYNES,837,0.8333,6,-0.1,0.75,8,0.5,16,0.5068,0.5481,62.74,MODERATE
MPHASIS,5903,0.8333,6,-0.1,0.6129,31,0.6543,81,0.5292,0.536,62.61,MODERATE
PAGEIND,4703,1.0,4,-0.1,0.4615,13,0.7176,85,0.4564,0.4213,62.23,ELITE_97+
DABUR,5903,0.8182,11,-0.1,0.5833,12,0.7471,87,0.5019,0.5194,62.21,MODERATE
SBILIFE,2106,0.7692,13,-0.05,0.6667,6,0.8621,29,0.464,0.4685,61.63,MODERATE
NAM-INDIA,2083,0.7045,44,-0.05,0.5556,9,0.7586,29,0.5053,0.5025,61.62,MODERATE
CIPLA,7600,0.8182,11,-0.1,0.5667,30,0.7203,118,0.4861,0.5403,61.61,MODERATE
INDUSTOWER,3278,0.8889,9,-0.1,0.56,25,0.6071,28,0.48,0.4931,61.43,MODERATE
360ONE,1623,0.75,4,-0.08,0.5294,17,0.8214,28,0.5324,0.5897,61.21,MODERATE
SHRIRAMFIN,5906,0.7647,17,-0.1,0.6667,27,0.7111,90,0.4678,0.5094,61.09,MODERATE
PNB,5905,0.8333,18,-0.1,0.6,40,0.7209,86,0.4442,0.4462,60.81,MODERATE
BAJAJFINSV,5872,0.5426,94,-0.05,0.6923,26,0.62,100,0.5753,0.5663,60.74,MODERATE
PRESTIGE,3812,0.6667,39,-0.06,0.7368,19,0.65,60,0.4755,0.4861,60.63,MODERATE
